custody_agency,date_of_release,sex,age,race_ethnicity,zip
PDP,2015-10-23 00:00:00,Male,61,Other,
PDP,2015-03-23 00:00:00,Male,58,Black,19146
PDP,2015-08-07 00:00:00,Male,60,White,
State,2015-11-25 00:00:00,Male,58,Hispanic,19144
PDP,2015-02-25 00:00:00,Male,58,White,19136
PDP,2015-10-27 00:00:00,Female,56,White,19134
PDP,2015-04-20 00:00:00,Male,60,Black,19134
PDP,2015-10-08 00:00:00,Male,62,Black,
PDP,2015-03-24 00:00:00,Female,62,Black,19132
PDP,2015-10-08 00:00:00,Male,71,Black,19111
PDP,2015-02-11 00:00:00,Male,57,Black,
State,2015-06-29 00:00:00,Male,57,Black,19134
PDP,2015-05-20 00:00:00,Male,58,Black,19120
PDP,2015-12-01 00:00:00,Male,59,Black,
State,2015-04-13 00:00:00,Male,61,Black,19124
PDP,2015-01-13 00:00:00,Male,58,Black,19121
PDP,2015-12-22 00:00:00,Male,59,Black,
PDP,2015-03-04 00:00:00,Male,59,Black,
PDP,2015-03-11 00:00:00,Male,59,Black,19143
PDP,2015-08-19 00:00:00,Male,58,Black,19133
State,2015-12-07 00:00:00,Male,69,Black,19132
PDP,2015-12-10 00:00:00,Male,80,Hispanic,19133
State,2015-06-18 00:00:00,Male,58,White,19120
PDP,2015-05-13 00:00:00,Male,58,Black,
PDP,2015-04-10 00:00:00,Male,59,Black,19139
PDP,2015-09-30 00:00:00,Male,59,Black,19146
PDP,2015-11-18 00:00:00,Male,58,Black,
PDP,2015-10-13 00:00:00,Male,59,Black,19131
State,2015-06-23 00:00:00,Male,59,Hispanic,19124
PDP,2015-12-11 00:00:00,Male,59,Black,19120
PDP,2015-02-12 00:00:00,Male,57,Black,
PDP,2015-06-23 00:00:00,Male,65,Black,
PDP,2015-02-17 00:00:00,Male,63,Black,19125
State,2015-09-14 00:00:00,Male,59,Black,19121
PDP,2015-03-12 00:00:00,Male,60,Black,
PDP,2015-04-29 00:00:00,Male,58,Black,19138
PDP,2015-01-01 00:00:00,Male,59,Black,19140
State,2015-02-23 00:00:00,Male,58,Black,19133
PDP,2015-12-07 00:00:00,Male,59,Black,
State,2015-02-09 00:00:00,Male,58,Black,19146
State,2015-10-11 00:00:00,Male,61,Black,19124
PDP,2015-12-07 00:00:00,Male,61,Black,19144
PDP,2015-09-09 00:00:00,Male,58,White,
PDP,2015-11-12 00:00:00,Male,58,Black,19143
PDP,2015-12-04 00:00:00,Male,59,Black,19120
State,2015-03-17 00:00:00,Male,58,Black,19123
State,2015-03-17 00:00:00,Male,58,Black,19123
PDP,2015-12-05 00:00:00,Male,59,White,
PDP,2015-09-30 00:00:00,Male,57,Black,19143
PDP,2015-03-03 00:00:00,Male,60,White,19134
PDP,2015-09-21 00:00:00,Male,64,Black,19144
PDP,2015-04-15 00:00:00,Male,59,Black,19143
PDP,2015-03-17 00:00:00,Male,60,Black,19139
PDP,2015-02-12 00:00:00,Male,61,Black,19132
PDP,2015-03-22 00:00:00,Female,65,Black,19145
PDP,2015-06-17 00:00:00,Female,58,White,19137
PDP,2015-01-30 00:00:00,Male,59,Black,
State,2015-01-04 00:00:00,Male,58,White,19116
PDP,2015-02-03 00:00:00,Male,57,Black,
PDP,2015-06-04 00:00:00,Male,58,Black,
State,2015-11-19 00:00:00,Male,61,White,19137
State,2015-09-21 00:00:00,Male,63,Black,19138
State,2015-03-04 00:00:00,Male,59,White,19151
PDP,2015-03-17 00:00:00,Male,57,Black,19170
PDP,2015-01-22 00:00:00,Male,58,White,19134
PDP,2015-04-14 00:00:00,Male,57,Black,19143
PDP,2015-12-22 00:00:00,Male,59,Black,
PDP,2015-02-18 00:00:00,Male,65,Black,
PDP,2015-06-09 00:00:00,Male,58,Black,
State,2015-09-15 00:00:00,Male,60,Black,19151
PDP,2015-10-01 00:00:00,Male,63,Black,
PDP,2015-06-09 00:00:00,Male,58,Black,
PDP,2015-02-27 00:00:00,Male,58,Black,
PDP,2015-09-01 00:00:00,Male,58,Black,19146
PDP,2015-06-09 00:00:00,Male,59,Black,19140
State,2015-06-14 00:00:00,Male,57,Black,19131
State,2015-11-09 00:00:00,Male,58,Black,19129
PDP,2015-09-02 00:00:00,Male,58,White,19146
PDP,2015-03-05 00:00:00,Male,58,Black,19104
State,2015-06-23 00:00:00,Male,58,Black,19144
State,2015-02-03 00:00:00,Male,56,Black,19146
PDP,2015-08-21 00:00:00,Female,59,White,19142
PDP,2015-07-01 00:00:00,Male,56,Black,19121
State,2015-02-02 00:00:00,Male,57,Black,19146
State,2015-05-11 00:00:00,Male,58,Black,19121
PDP,2015-06-12 00:00:00,Male,58,White,19142
State,2015-06-01 00:00:00,Male,59,White,19116
State,2015-10-06 00:00:00,Male,58,Black,19141
State,2015-05-11 00:00:00,Male,58,Black,19134
PDP,2015-12-04 00:00:00,Male,58,Black,19152
State,2015-08-26 00:00:00,Male,59,Black,19140
PDP,2015-03-27 00:00:00,Male,59,Black,19149
PDP,2015-11-29 00:00:00,Male,58,Black,19140
PDP,2015-04-16 00:00:00,Male,65,Hispanic,19134
PDP,2015-07-21 00:00:00,Male,58,Black,19129
PDP,2015-06-29 00:00:00,Male,58,Black,19132
PDP,2015-04-13 00:00:00,Male,57,Black,19140
PDP,2015-05-26 00:00:00,Male,58,Black,19139
PDP,2015-07-24 00:00:00,Male,59,Black,19133
PDP,2015-07-16 00:00:00,Male,58,Black,19140
PDP,2015-12-16 00:00:00,Male,60,Black,19120
PDP,2015-11-23 00:00:00,Male,64,Hispanic,19134
PDP,2015-05-05 00:00:00,Male,59,White,19135
PDP,2015-03-27 00:00:00,Male,58,Black,19119
PDP,2015-09-10 00:00:00,Male,56,White,19100
State,2015-06-15 00:00:00,Male,67,Black,19134
State,2015-04-26 00:00:00,Male,57,Black,19140
PDP,2015-11-25 00:00:00,Male,62,Black,19131
State,2015-08-02 00:00:00,Male,60,Black,19140
PDP,2015-03-27 00:00:00,Male,57,Black,
PDP,2015-06-11 00:00:00,Male,56,Black,19145
PDP,2015-03-16 00:00:00,Male,62,White,19124
PDP,2015-03-10 00:00:00,Male,56,Black,19138
State,2015-01-12 00:00:00,Male,57,Black,19123
PDP,2015-10-28 00:00:00,Male,62,Black,
PDP,2015-04-16 00:00:00,Male,58,Black,19139
PDP,2015-02-02 00:00:00,Male,61,Black,19135
PDP,2015-08-05 00:00:00,Male,58,Black,19146
PDP,2015-07-28 00:00:00,Male,58,Black,19143
PDP,2015-10-28 00:00:00,Male,58,Black,19132
PDP,2015-11-06 00:00:00,Female,58,White,19125
State,2015-09-09 00:00:00,Male,57,Black,19104
PDP,2015-11-28 00:00:00,Male,57,Black,19149
PDP,2015-03-04 00:00:00,Male,57,Black,19131
PDP,2015-09-11 00:00:00,Male,62,Black,19100
PDP,2015-05-28 00:00:00,Male,60,Black,19138
PDP,2015-05-03 00:00:00,Male,56,Black,19139
PDP,2015-07-03 00:00:00,Male,57,Black,19148
PDP,2015-09-21 00:00:00,Male,61,Hispanic,19140
State,2015-12-20 00:00:00,Male,53,Black,19145
PDP,2015-11-21 00:00:00,Male,64,Black,19144
PDP,2015-11-05 00:00:00,Male,59,Black,19133
State,2015-07-27 00:00:00,Male,57,Black,19129
PDP,2015-07-01 00:00:00,Male,59,Black,19130
